"CD8T","CD4T","NK","Bcell","Mono","Gran","nRBC"
0.134073322931779,0.215380303056755,0,0.0687981655250424,0.0777755321694093,0.438915748294385,0.08845309766053
0.105577261278476,0.0807479590974111,0,0.082334298573503,0.099687127881384,0.550250497941929,0.109821683000159
0.149575483288846,0.10482003419701,0.0490455259042698,0.0526896029098313,0.0833276611700239,0.528442505148625,0.0660029316407249
0.245393676176226,0.139691869996558,0.0184076971419473,0.120964672059077,0.0668909622520262,0.343245531629,0.0795392532397383
0.178619427938255,0.198836932067039,0,0.0554215546969867,0.0569633634245526,0.444523612530706,0.0866913561721495
0.155184425431608,0.111439635608742,0,0.0769123430032193,0.111855969603054,0.537290172365642,0.0554280954638973
0.177698546755726,0.187770522956962,0,0.0830434416474583,0.0387374381490471,0.477392267456761,0.0730038359332645
0.137419638869865,0.0691168380036178,0,0.0732559650556451,0.107808346312555,0.581605329123139,0.0483435393967629
0.110275028035936,0.100038141453722,0,0.05594533741438,0.0926575232102841,0.606906337217945,0.0386496724261172
0.162513675647828,0.12632245855867,0.0766222042449167,0.0777553953692843,0.0431515477022772,0.215617522314784,0.31732360467215
0.184945698416456,0.153737492941249,0,0.132564929978757,0.0608501922452687,0.375777797936852,0.191428117070251
0.0857258171040942,0.103877786235898,0,0.037917806290303,0.0595809800874933,0.422184724661458,0.292342475399375
0.117238111524104,0.0430393805348767,0,0.0896127308672229,0.100569898243315,0.603624295039774,0.0539412925229245
0.19529774024357,0.171977048447022,0,0.0506245233833205,0.0626445982304059,0.470520404259449,0.0604123914525735
0.12678231739182,0.150094125024174,0,0.137960377542691,0.0631482854953223,0.377269532446138,0.170793855131873
